希望n 希望v
高ad 高nrf
扬Vg 扬nrg
回首vi 回首v
小型张n 小型张rz
红旗招展i 红旗招展vi
戴v 戴nrf
虎头帽n 虎头帽nrg
御寒衣n 御寒衣vq
正b 正d
草书n 草书qe
汉字n 汉字nrf
金印n 金印nrg
左上方f 左上方s
路易斯·郑nr 路易斯·郑vn
１８００万m １８００万vi
抗雪救灾l 抗雪救灾ul
同呼吸l 同呼吸wky
鱼水深情l 鱼水深情vn
古曲n 古曲nr
大胡笳n 大胡笳nz
百鸟朝凤l 百鸟朝凤nz
鹧鸪n 鹧鸪nrf
飞v 飞nrg
寒鸭n 寒鸭nz
戏Vg 戏n
创作v 创作vn
茉莉花n 茉莉花nz
并d 并c
逊色a 逊色vu
西洋n 西洋ns
瓦尔德海姆nr 瓦尔德海姆wky
路德维希·毕林格nr 路德维希·毕林格wyy
当p 当vl
来v 来vi
来v 来vi
老大爷n 老大爷ad
小木凳n 小木凳rr
来v 来vi
快板n 快板a
演出v 演出vn
有滋有味l 有滋有味i
９点t ９点dc
多m 多a
捐款n 捐款vi
阵阵q 阵阵f
塞上s 塞上dc
亮a 亮vi
港区n 港区ui
常nrf 常d
德传nrg 德传vu
关键a 关键n
摄成v 摄成wj
联合v 联合vn
摄制v 摄制vn
到v 到vq
关注v 关注vn
支持v 支持vn
有vx 有v
自立vi 自立vn
发展v 发展vn
戍边vn 戍边nz
哨卡n 哨卡nrf
守岁vi 守岁nrg
困难an 困难a
难a 难ad
戍边vn 戍边vi
看家vi 看家ul
守门vi 守门a
将p 将d
安排vn 安排v
活动v 活动vn
老外n 老外nz
在d 在p
学友n 学友vn
洋女婿n 洋女婿nz
洋媳妇n 洋媳妇nz
联谊vn 联谊d
和平a 和平n
拖v 拖m
额头n 额头d
剃v 剃df
得ue 得vu
又c 又d
光a 光d
又c 又d
清代tt 清代wyy
清宫n 清宫nz
勃兴v 勃兴vn
评论界n 评论界ad
大清nz 大清e
碰碰车n 碰碰车wt
可能n 可能vu
总编室n 总编室ns
多m 多a
摄制vn 摄制v
投入v 投入vn
创作v 创作vn
工作量n 工作量vn
制作vn 制作v
叙述vn 叙述v
才d 才c
嵊州ns 嵊州d
嵊州ns 嵊州vq
嵊州ns 嵊州nz
团团n 团团d
嵊州ns 嵊州ul
在d 在p
嵊州ns 嵊州nrf
越剧界n 越剧界nrg
嵊州市ns 嵊州市c
长安nz 长安ns
戏院n 戏院ui
与c 与p
出qe 出v
嵊州籍n 嵊州籍nrf
剧作家n 剧作家nrg
明代tt 明代ns
连环记n 连环记nz
共诛v 共诛wu
导演v 导演n
俱Dg 俱nrf
佳a 佳nrg
在岗vn 在岗v
同命相连i 同命相连a
共同b 共同d
决定n 决定v
为p 为vl
江n 江nrf
沿海f 沿海nrg
投资v 投资vn
对等vn 对等ns
方便vn 方便a
肉孜节t 肉孜节vn
１６００万m １６００万nz
敞亮a 敞亮ui
突击vd 突击v
和c 和p
格尔木ns 格尔木s
党中央nt 党中央a
航空兵n 航空兵wj
驻地n 驻地ns
亲如一家lv 亲如一家iv
大安乡ns 大安乡vn
椰Ng 椰ns
连日来ld 连日来t
到v 到p
青山ns 青山wkz
弯弯的z 弯弯的nrf
山道n 山道nrg
青山冲ns 青山冲m
里f 里qd
下v 下f
部分m 部分n
有vx 有v
阴间多云l 阴间多云ul
小雨夹雪l 小雨夹雪vn
过去t 过去v
云jb 云n
贵jb 贵a
部分m 部分n
有vx 有v
少v 少a
有vx 有v
级qz 级qe
合家n 合家t
成千上万iv 成千上万rz
中环s 中环nrf
海滨s 海滨nrg
太平ns 太平a
多a 多m
维港j 维港ns
优惠价n 优惠价vn
客运员n 客运员wkz
父老乡亲ln 父老乡亲nz
天下第一lv 天下第一nz
接着v 接着c
……w ……ws
以c 以p
有关p 有关vn
适应vn 适应v
有vx 有v
值得v 值得qe
欧盟j 欧盟jn
因为c 因为p
以c 以p
检查v 检查vn
组织n 组织v
组织n 组织v
哈拉雷ns 哈拉雷rr
以c 以p
稳定v 稳定a
津巴布韦ns 津巴布韦m
元Ng 元qd
土地改革ln 土地改革ul
尽vi 尽v
马蹄n 马蹄ul
行草n 行草nz
丽Ag 丽m
天n 天qt
河山n 河山f
东风化雨l 东风化雨Ag
行书n 行书nz
教官n 教官wyy
教官n 教官wd
经过p 经过v
齐心a 齐心b
毕Vg 毕nrf
出厂vi 出厂nrg
装备vn 装备v
修理部n 修理部ul
表扬电n 表扬电y
记功vi 记功ud
嘉奖v 嘉奖vn
投资vn 投资n
５５％m ５５％vi
应用v 应用vn
索尼nz 索尼ul
栅网n 栅网nz
罗斯蒙特nz 罗斯蒙特ns
流量计n 流量计wky
通用nz 通用vn
ＳＧＭnx ＳＧＭvn
９７型n ９７型m
别克nz 别克qe
ＲＤnx ＲＤa
记者站n 记者站d
高高的z 高高的m
坛子岭ns 坛子岭qt
举目望去l 举目望去iv
１８５m １８５c
坝段n 坝段qt
大坝n 大坝rr
加厚v 加厚iv
坝段n 坝段qt
立模v 立模vi
捆qc 捆v
模板n 模板nr
为vl 为p
发展v 发展vn
变动v 变动vn
有v 有vx
特Ag 特ns
组织v 组织n
特Ag 特ns
骆驼肉n 骆驼肉vn
驴肉n 驴肉iv
芽白n 芽白vn
孤儿村n 孤儿村f
共青j 共青qv
长岭nz 长岭ns
捐助v 捐助vn
伏龙桥ns 伏龙桥a
……w ……ws
补贴v 补贴n
以c 以p
来vi 来f
依旧z 依旧t
复兴社会党n 复兴社会党wky
指挥n 指挥vn
戈里齐亚市ns 戈里齐亚市rr
言而有信iv 言而有信a
汉堡ns 汉堡ul
值v 值n
克拉科夫ns 克拉科夫ud
文化日n 文化日ud
中餐n 中餐nrf
品尝vn 品尝nrg
传统a 传统n
一秘n 一秘wu
组织v 组织n
留学vn 留学v
进修vn 进修v
有vx 有v
一显身手l 一显身手a
指Ng 指v
面食n 面食vq
则c 则d
心甘情愿ia 心甘情愿iv
当vl 当p
下手n 下手t
饺子皮n 饺子皮wd
学业有成lv 学业有成t
为vl 为p
５．８％m ５．８％t
６．９％m ６．９％vn
５．５％m ５．５％a
阿比托nr 阿比托d
５．７％m ５．７％iv
因p 因c
３．１％m ３．１％n
２．８％m ２．８％y
与c 与p
绯红z 绯红vi
将p 将d
糍粑n 糍粑nrf
甜酒n 甜酒nrg
湘北ns 湘北rr
盛行v 盛行a
生产队长n 生产队长rr
点将vi 点将ul
彩排v 彩排vn
奏乐vi 奏乐a
各就各位lv 各就各位Ng
总b 总d
监制vn 监制vi
彩排v 彩排rr
喜爱v 喜爱vn
崇敬v 崇敬vn
很难说lv 很难说dc
站v 站n
自然n 自然a
亲和a 亲和Ng
盘曲v 盘曲ud
荫Ng 荫n
粗厚a 粗厚m
硬实a 硬实qt
斑痕n 斑痕f
树皮n 树皮vn
横Ag 横v
斜a 斜v
枝柯n 枝柯vn
私语vi 私语f
风风雨雨in 风风雨雨t
匍匐vi 匍匐vu
传导v 传导vn
雷暴n 雷暴s
卑微an 卑微a
怯懦an 怯懦vn
伟力n 伟力vn
枝枝叶叶n 枝枝叶叶rr
在d 在p
全景n 全景vn
倾倒vi 倾倒v
撕裂v 撕裂a
鸣吼n 鸣吼vn
呼o 呼v
轰轰烈烈i 轰轰烈烈d
山摇地动i 山摇地动vn
经v 经p
荣Ag 荣nrf
历Vg 历nrg
风霜n 风霜f
群芳n 群芳wky
览Vg 览qt
周遭n 周遭f
伟Ag 伟vn
雷霆n 雷霆f
河东s 河东ns
河西s 河西ns
抗争vi 抗争m
烽火n 烽火qt
离乱a 离乱f
多多d 多多rr
纷繁a 纷繁nrf
世象n 世象nrg
功罪n 功罪ad
评说vn 评说v
颔Vg 颔m
首Ng 首qe
槐荫耆宿l 槐荫耆宿iv
姻缘n 姻缘Ng
论p 论v
婉转a 婉转dc
论p 论v
摇滚n 摇滚ul
强劲an 强劲a
火爆an 火爆a
甚Dg 甚dc
雄壮an 雄壮qe
豪迈an 豪迈a
肖形虎n 肖形虎wj
现实a 现实n
顿悟vn 顿悟n
来vq 来vi
怀Ng 怀v
如泣如诉i 如泣如诉a
